Gender,family_history,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,Obesity,Age,Weight,Height
Female,não,sim,2.0,1.0,Quase sempre,não,2.0,não,0.0,0.0,Não,Automóvel,Obesidade I,29,78,1.53
Female,sim,sim,3.0,4.0,Frequentemente,sim,1.0,não,0.0,0.0,Não,Automóvel,Sobrepeso II,30,82,1.71
Female,sim,não,2.0,1.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Sobrepeso I,23,70,1.65
Male,sim,não,2.0,3.0,Quase sempre,não,2.0,não,3.0,2.0,Não,Caminhar,Sobrepeso II,22,80,1.65
Female,sim,sim,3.0,1.0,Quase sempre,sim,2.0,não,0.0,0.0,Não,Automóvel,Obesidade I,52,87,1.69
Female,sim,sim,3.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Automóvel,Peso normal,22,60,1.65
Female,sim,sim,1.0,1.0,Quase sempre,não,2.0,não,0.0,2.0,Quase sempre,Transporte público,Obesidade I,22,82,1.6
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,1.0,Quase sempre,Transporte público,Peso normal,21,68,1.85
Male,sim,não,2.0,4.0,Frequentemente,sim,2.0,não,3.0,2.0,Não,Transporte público,Peso normal,20,50,1.6
Male,sim,sim,2.0,1.0,Frequentemente,não,2.0,não,1.0,2.0,Sempre,Caminhar,Peso normal,21,65,1.7
Female,não,sim,2.0,4.0,Frequentemente,não,2.0,não,2.0,1.0,Quase sempre,Automóvel,Peso normal,23,52,1.6
Male,sim,sim,3.0,3.0,Quase sempre,não,2.0,sim,3.0,1.0,Quase sempre,Transporte público,Peso normal,19,76,1.75
Male,não,sim,2.0,3.0,Quase sempre,não,2.0,não,2.0,2.0,Frequentemente,Caminhar,Peso normal,23,70,1.68
Male,não,sim,1.0,4.0,Frequentemente,não,3.0,não,0.0,1.0,Não,Motocicleta,Sobrepeso I,29,83,1.77
Female,sim,não,2.0,1.0,Quase sempre,não,1.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso II,31,68,1.58
Female,não,não,2.0,3.0,Quase sempre,não,3.0,não,1.0,1.0,Quase sempre,Caminhar,Peso normal,24,76,1.77
Male,não,não,2.0,1.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Sobrepeso II,39,90,1.79
Male,não,sim,2.0,4.0,Frequentemente,não,2.0,não,2.0,0.0,Quase sempre,Transporte público,Peso normal,22,62,1.65
Female,sim,não,2.0,3.0,Quase sempre,não,2.0,não,2.0,2.0,Quase sempre,Transporte público,Sobrepeso II,21,65,1.5
Female,não,sim,2.0,3.0,Quase sempre,não,1.0,sim,2.0,0.0,Não,Caminhar,Peso normal,22,49,1.56
Female,não,sim,2.0,3.0,Quase sempre,não,1.0,não,1.0,0.0,Quase sempre,Transporte público,Peso normal,21,48,1.6
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Quase sempre,Transporte público,Peso normal,23,67,1.65
Female,sim,sim,2.0,3.0,Quase sempre,não,3.0,não,3.0,0.0,Quase sempre,Transporte público,Sobrepeso II,21,88,1.75
Female,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso I,21,75,1.67
Male,não,não,2.0,4.0,Frequentemente,não,2.0,não,0.0,0.0,Não,Caminhar,Peso normal,23,60,1.68
Female,sim,sim,1.0,3.0,Quase sempre,não,1.0,não,0.0,0.0,Não,Transporte público,Peso normal,21,64,1.66
Male,sim,sim,2.0,3.0,Quase sempre,sim,2.0,não,1.0,1.0,Frequentemente,Transporte público,Peso normal,21,62,1.66
Male,não,não,1.0,3.0,Não,não,2.0,não,2.0,0.0,Não,Transporte público,Peso normal,21,80,1.81
Female,sim,não,2.0,3.0,Quase sempre,não,1.0,não,0.0,1.0,Não,Transporte público,Sobrepeso II,21,65,1.53
Male,sim,sim,1.0,3.0,Frequentemente,não,3.0,não,2.0,0.0,Quase sempre,Transporte público,Peso normal,21,72,1.82
Male,sim,sim,1.0,3.0,Frequentemente,não,3.0,não,2.0,0.0,Quase sempre,Transporte público,Peso normal,21,72,1.75
Female,sim,não,3.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Caminhar,Peso normal,20,60,1.66
Female,não,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Peso normal,21,50,1.55
Female,sim,sim,3.0,3.0,Quase sempre,não,3.0,não,0.0,1.0,Quase sempre,Caminhar,Peso normal,21,54,1.61
Female,não,sim,2.0,3.0,Quase sempre,não,1.0,não,0.0,0.0,Quase sempre,Automóvel,Peso normal,20,44,1.5
Female,não,sim,3.0,1.0,Quase sempre,não,2.0,não,2.0,2.0,Não,Transporte público,Peso normal,23,52,1.64
Female,sim,não,3.0,3.0,Não,não,2.0,sim,2.0,1.0,Não,Transporte público,Peso normal,23,55,1.63
Female,não,não,3.0,4.0,Sempre,não,3.0,não,2.0,0.0,Não,Transporte público,Peso normal,22,55,1.6
Male,não,não,2.0,4.0,Frequentemente,não,2.0,não,0.0,0.0,Quase sempre,Automóvel,Peso normal,23,62,1.68
Male,sim,sim,2.0,3.0,Quase sempre,não,1.0,não,0.0,1.0,Quase sempre,Automóvel,Peso normal,22,70,1.7
Male,sim,não,2.0,3.0,Quase sempre,não,1.0,não,0.0,1.0,Não,Transporte público,Peso normal,21,65,1.64
Female,sim,sim,3.0,1.0,Quase sempre,não,2.0,não,1.0,1.0,Não,Caminhar,Peso normal,17,67,1.65
Male,sim,sim,2.0,4.0,Quase sempre,não,3.0,não,2.0,2.0,Não,Transporte público,Abaixo do peso,20,55,1.76
Female,sim,sim,2.0,3.0,Quase sempre,não,3.0,não,3.0,1.0,Quase sempre,Transporte público,Peso normal,21,49,1.55
Male,não,sim,2.0,3.0,Quase sempre,não,2.0,não,3.0,1.0,Quase sempre,Transporte público,Peso normal,20,58,1.65
Male,não,sim,2.0,1.0,Não,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Peso normal,22,62,1.67
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,2.0,Quase sempre,Automóvel,Peso normal,22,55,1.68
Female,sim,sim,2.0,3.0,Frequentemente,não,1.0,não,1.0,1.0,Não,Transporte público,Peso normal,21,57,1.66
Female,sim,sim,1.0,3.0,Frequentemente,não,2.0,não,0.0,1.0,Não,Transporte público,Sobrepeso I,21,69,1.62
Male,sim,sim,1.0,3.0,Sempre,não,2.0,não,0.0,2.0,Frequentemente,Transporte público,Sobrepeso II,23,90,1.8
Male,sim,sim,2.0,3.0,Sempre,não,2.0,não,0.0,1.0,Frequentemente,Automóvel,Obesidade I,23,95,1.65
Male,sim,sim,1.0,3.0,Não,sim,2.0,sim,0.0,0.0,Frequentemente,Automóvel,Obesidade II,30,112,1.76
Male,sim,não,2.0,3.0,Não,não,3.0,não,0.0,1.0,Quase sempre,Transporte público,Peso normal,23,60,1.8
Female,sim,sim,2.0,3.0,Sempre,não,2.0,não,0.0,2.0,Não,Transporte público,Sobrepeso II,23,80,1.65
Female,sim,não,3.0,3.0,Não,não,3.0,sim,2.0,1.0,Quase sempre,Transporte público,Abaixo do peso,22,50,1.67
Female,sim,não,2.0,3.0,Quase sempre,não,3.0,sim,1.0,0.0,Não,Transporte público,Peso normal,24,60,1.65
Male,sim,não,2.0,3.0,Quase sempre,não,3.0,não,2.0,1.0,Quase sempre,Bicicleta,Peso normal,19,65,1.85
Male,sim,sim,2.0,3.0,Frequentemente,não,3.0,não,0.0,1.0,Frequentemente,Transporte público,Sobrepeso II,24,85,1.7
Female,sim,não,3.0,3.0,Quase sempre,não,3.0,sim,2.0,0.0,Não,Transporte público,Abaixo do peso,23,45,1.63
Female,sim,não,2.0,3.0,Não,não,2.0,não,1.0,0.0,Não,Transporte público,Abaixo do peso,24,45,1.6
Female,sim,sim,2.0,3.0,Quase sempre,não,3.0,não,0.0,0.0,Não,Transporte público,Sobrepeso II,24,80,1.7
Female,sim,sim,2.0,3.0,Quase sempre,não,3.0,não,0.0,1.0,Não,Transporte público,Obesidade I,23,90,1.65
Male,sim,não,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Peso normal,23,60,1.65
Female,não,não,3.0,3.0,Quase sempre,não,2.0,sim,0.0,0.0,Não,Transporte público,Peso normal,19,58,1.63
Male,sim,sim,2.0,3.0,Frequentemente,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Sobrepeso II,30,91,1.8
Male,sim,sim,2.0,3.0,Sempre,não,2.0,não,0.0,1.0,Não,Transporte público,Obesidade I,23,85,1.67
Female,não,não,3.0,3.0,Não,não,3.0,sim,2.0,0.0,Não,Caminhar,Abaixo do peso,19,45,1.6
Male,sim,sim,2.0,3.0,Frequentemente,não,2.0,não,0.0,1.0,Quase sempre,Transporte público,Sobrepeso II,25,83,1.7
Male,sim,não,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Não,Transporte público,Peso normal,23,58,1.65
Male,sim,sim,2.0,1.0,Frequentemente,não,3.0,não,1.0,0.0,Não,Transporte público,Peso normal,21,83,1.85
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Não,Transporte público,Sobrepeso I,19,87,1.82
Female,sim,sim,2.0,3.0,Frequentemente,não,2.0,sim,1.0,0.0,Não,Automóvel,Peso normal,22,65,1.65
Female,sim,sim,3.0,3.0,Quase sempre,não,1.0,não,2.0,1.0,Frequentemente,Automóvel,Sobrepeso II,29,78,1.7
Female,não,não,3.0,4.0,Sempre,não,1.0,não,2.0,0.0,Não,Transporte público,Obesidade II,25,93,1.63
Female,sim,não,3.0,3.0,Sempre,não,2.0,sim,0.0,1.0,Frequentemente,Transporte público,Peso normal,20,64,1.61
Male,sim,não,3.0,4.0,Frequentemente,não,3.0,sim,3.0,0.0,Frequentemente,Caminhar,Sobrepeso I,55,84,1.78
Female,não,não,3.0,3.0,Sempre,não,2.0,não,1.0,0.0,Não,Caminhar,Peso normal,20,57,1.6
Female,não,sim,3.0,3.0,Quase sempre,não,2.0,não,2.0,0.0,Não,Transporte público,Peso normal,24,48,1.6
Male,sim,não,3.0,1.0,Frequentemente,não,2.0,não,2.0,0.0,Frequentemente,Transporte público,Peso normal,26,70,1.7
Female,sim,não,2.0,3.0,Quase sempre,não,2.0,não,3.0,0.0,Quase sempre,Transporte público,Peso normal,23,60,1.66
Female,não,não,3.0,1.0,Frequentemente,não,1.0,não,0.0,0.0,Quase sempre,Transporte público,Abaixo do peso,21,42,1.52
Female,não,não,3.0,1.0,Frequentemente,não,1.0,não,0.0,0.0,Quase sempre,Transporte público,Abaixo do peso,21,42,1.52
Male,não,não,2.0,3.0,Quase sempre,não,2.0,não,3.0,1.0,Frequentemente,Transporte público,Peso normal,23,70,1.72
Female,não,sim,3.0,1.0,Quase sempre,não,1.0,não,0.0,0.0,Quase sempre,Transporte público,Peso normal,21,63,1.69
Male,sim,não,2.0,3.0,Frequentemente,não,2.0,não,0.0,0.0,Não,Transporte público,Peso normal,22,66,1.7
Female,não,sim,2.0,4.0,Frequentemente,não,2.0,sim,2.0,0.0,Quase sempre,Automóvel,Peso normal,21,57,1.55
Female,sim,sim,3.0,4.0,Frequentemente,não,2.0,não,1.0,0.0,Quase sempre,Transporte público,Peso normal,22,58,1.65
Female,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Automóvel,Obesidade I,38,80,1.56
Female,não,sim,2.0,1.0,Quase sempre,não,2.0,não,2.0,0.0,Quase sempre,Transporte público,Peso normal,25,55,1.57
Female,não,sim,2.0,1.0,Quase sempre,não,2.0,não,2.0,0.0,Quase sempre,Transporte público,Peso normal,25,55,1.57
Male,sim,sim,2.0,3.0,Sempre,não,1.0,não,0.0,1.0,Quase sempre,Automóvel,Sobrepeso I,22,90,1.88
Male,sim,não,2.0,3.0,Quase sempre,não,3.0,não,3.0,2.0,Não,Caminhar,Obesidade I,22,95,1.75
Female,sim,sim,3.0,1.0,Quase sempre,não,3.0,não,2.0,1.0,Não,Transporte público,Obesidade I,21,88,1.65
Male,sim,sim,3.0,3.0,Quase sempre,não,2.0,não,0.0,1.0,Quase sempre,Transporte público,Peso normal,21,75,1.75
Female,sim,sim,2.0,1.0,Quase sempre,não,1.0,não,0.0,0.0,Não,Transporte público,Peso normal,22,58,1.58
Female,sim,sim,2.0,4.0,Frequentemente,não,2.0,não,1.0,0.0,Quase sempre,Transporte público,Peso normal,18,51,1.56
Female,sim,não,2.0,1.0,Quase sempre,não,2.0,não,3.0,0.0,Não,Caminhar,Peso normal,22,49,1.5
Female,sim,sim,3.0,1.0,Frequentemente,não,2.0,não,1.0,0.0,Frequentemente,Transporte público,Peso normal,19,62,1.61
Female,sim,sim,3.0,3.0,Frequentemente,não,2.0,não,0.0,1.0,Não,Transporte público,Peso normal,17,57,1.75
Female,sim,sim,3.0,3.0,Quase sempre,não,1.0,não,3.0,2.0,Não,Caminhar,Obesidade I,15,86,1.65
Female,sim,não,2.0,3.0,Frequentemente,não,2.0,não,1.0,1.0,Não,Transporte público,Sobrepeso II,17,85,1.7
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Quase sempre,Transporte público,Peso normal,23,53,1.62
Female,sim,não,3.0,3.0,Frequentemente,sim,3.0,não,2.0,1.0,Quase sempre,Automóvel,Sobrepeso II,19,76,1.63
Female,sim,sim,2.0,3.0,Frequentemente,sim,2.0,não,0.0,2.0,Não,Caminhar,Sobrepeso I,23,75,1.67
Male,sim,sim,1.0,3.0,Frequentemente,não,2.0,não,0.0,2.0,Frequentemente,Transporte público,Sobrepeso II,23,95,1.87
Male,sim,não,3.0,4.0,Frequentemente,não,1.0,não,1.0,0.0,Não,Caminhar,Abaixo do peso,21,50,1.75
Male,sim,sim,3.0,1.0,Quase sempre,não,2.0,não,1.0,0.0,Não,Transporte público,Peso normal,24,67,1.66
Male,não,sim,3.0,3.0,Quase sempre,não,1.0,não,0.0,0.0,Não,Transporte público,Sobrepeso II,23,90,1.76
Male,sim,sim,2.0,3.0,Sempre,não,2.0,não,0.0,0.0,Frequentemente,Transporte público,Sobrepeso I,18,80,1.75
Male,não,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Transporte público,Peso normal,19,68,1.67
Female,não,sim,3.0,1.0,Quase sempre,não,3.0,sim,1.0,0.0,Quase sempre,Transporte público,Peso normal,19,61,1.65
Male,sim,sim,3.0,3.0,Frequentemente,não,1.0,não,0.0,0.0,Quase sempre,Transporte público,Peso normal,20,70,1.72
Male,não,sim,3.0,3.0,Quase sempre,não,3.0,não,1.0,1.0,Frequentemente,Transporte público,Sobrepeso II,27,78,1.7
Female,sim,sim,2.0,4.0,Frequentemente,não,2.0,não,1.0,1.0,Não,Transporte público,Peso normal,20,53,1.58
Male,não,não,2.0,3.0,Quase sempre,não,1.0,não,1.0,0.0,Não,Transporte público,Peso normal,23,58,1.62
Female,sim,sim,3.0,3.0,Frequentemente,sim,3.0,sim,1.0,2.0,Frequentemente,Transporte público,Peso normal,19,56,1.65
Female,não,sim,3.0,3.0,Sempre,não,2.0,não,1.0,1.0,Frequentemente,Transporte público,Peso normal,61,66,1.65
Male,sim,sim,3.0,3.0,Quase sempre,não,1.0,não,2.0,0.0,Quase sempre,Automóvel,Obesidade I,30,109,1.77
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Automóvel,Sobrepeso I,24,75,1.7
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Quase sempre,Transporte público,Peso normal,25,72,1.79
Male,sim,não,2.0,3.0,Quase sempre,sim,3.0,não,0.0,0.0,Não,Motocicleta,Obesidade I,44,80,1.6
Male,sim,não,3.0,3.0,Sempre,não,3.0,sim,3.0,0.0,Não,Bicicleta,Peso normal,31,75,1.76
Male,não,sim,2.0,3.0,Frequentemente,não,2.0,não,0.0,1.0,Não,Transporte público,Peso normal,25,68,1.7
Male,sim,sim,3.0,3.0,Frequentemente,não,3.0,não,1.0,1.0,Quase sempre,Transporte público,Abaixo do peso,23,65,1.89
Male,não,sim,3.0,3.0,Sempre,não,2.0,não,2.0,0.0,Frequentemente,Transporte público,Peso normal,25,66,1.87
Male,não,sim,2.0,3.0,Frequentemente,sim,1.0,não,1.0,1.0,Frequentemente,Automóvel,Obesidade I,23,93,1.74
Female,não,sim,3.0,1.0,Quase sempre,não,1.0,não,0.0,0.0,Quase sempre,Automóvel,Sobrepeso I,34,75,1.68
Male,sim,não,2.0,4.0,Quase sempre,não,3.0,sim,2.0,2.0,Quase sempre,Transporte público,Sobrepeso I,22,67,1.61
Male,não,sim,2.0,1.0,Não,não,3.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso I,21,70,1.62
Female,não,não,3.0,3.0,Frequentemente,não,2.0,não,2.0,2.0,Frequentemente,Transporte público,Peso normal,24,51,1.56
Female,sim,não,3.0,3.0,Quase sempre,não,1.0,não,0.0,0.0,Quase sempre,Automóvel,Obesidade I,36,80,1.63
Female,não,sim,3.0,3.0,Sempre,não,2.0,não,0.0,0.0,Quase sempre,Automóvel,Peso normal,27,61,1.6
Female,sim,sim,3.0,1.0,Quase sempre,não,2.0,não,2.0,0.0,Quase sempre,Automóvel,Obesidade I,32,90,1.67
Male,sim,sim,2.0,1.0,Quase sempre,não,2.0,não,2.0,1.0,Quase sempre,Transporte público,Peso normal,25,78,1.78
Female,sim,sim,3.0,3.0,Quase sempre,não,2.0,não,2.0,0.0,Quase sempre,Automóvel,Peso normal,30,59,1.62
Female,sim,sim,2.0,1.0,Sempre,sim,2.0,não,0.0,0.0,Quase sempre,Automóvel,Sobrepeso I,38,60,1.5
Male,sim,não,2.0,3.0,Quase sempre,não,3.0,não,2.0,0.0,Não,Automóvel,Sobrepeso II,34,84,1.69
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Transporte público,Obesidade I,22,94,1.74
Female,sim,sim,3.0,1.0,Frequentemente,não,2.0,não,1.0,1.0,Quase sempre,Automóvel,Peso normal,31,63,1.68
Female,sim,não,3.0,3.0,Frequentemente,não,1.0,não,0.0,1.0,Não,Automóvel,Peso normal,35,45,1.53
Male,sim,sim,2.0,3.0,Frequentemente,não,2.0,não,2.0,1.0,Quase sempre,Transporte público,Peso normal,21,60,1.67
Female,sim,não,3.0,3.0,Quase sempre,não,3.0,não,0.0,0.0,Quase sempre,Automóvel,Sobrepeso I,40,62,1.55
Male,sim,sim,2.0,1.0,Quase sempre,não,2.0,não,0.0,0.0,Frequentemente,Automóvel,Sobrepeso II,27,78,1.64
Male,sim,não,3.0,3.0,Quase sempre,sim,1.0,não,2.0,1.0,Quase sempre,Transporte público,Peso normal,20,72,1.83
Male,não,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Não,Automóvel,Sobrepeso II,55,80,1.65
Female,sim,sim,3.0,3.0,Sempre,sim,2.0,não,2.0,0.0,Quase sempre,Transporte público,Peso normal,21,60,1.63
Male,não,não,3.0,3.0,Frequentemente,não,2.0,sim,3.0,0.0,Não,Transporte público,Peso normal,25,75,1.89
Male,sim,não,3.0,3.0,Frequentemente,não,3.0,não,2.0,1.0,Quase sempre,Automóvel,Sobrepeso II,35,85,1.77
Male,sim,não,2.0,3.0,Quase sempre,sim,1.0,não,1.0,0.0,Quase sempre,Transporte público,Obesidade II,30,130,1.92
Female,sim,não,3.0,3.0,Sempre,não,2.0,não,0.0,0.0,Quase sempre,Automóvel,Peso normal,29,72,1.74
Male,sim,não,2.0,3.0,Quase sempre,não,2.0,não,1.0,2.0,Não,Caminhar,Sobrepeso II,20,80,1.65
Female,sim,sim,2.0,1.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso I,22,79,1.73
Female,sim,sim,2.0,3.0,Frequentemente,não,1.0,não,0.0,0.0,Não,Automóvel,Sobrepeso II,45,77,1.63
Male,não,sim,2.0,1.0,Quase sempre,não,2.0,não,2.0,1.0,Quase sempre,Transporte público,Sobrepeso II,22,82,1.72
Male,sim,sim,2.0,3.0,Frequentemente,não,2.0,não,1.0,0.0,Quase sempre,Transporte público,Peso normal,18,58,1.6
Female,não,não,3.0,1.0,Quase sempre,não,2.0,não,1.0,2.0,Quase sempre,Transporte público,Peso normal,23,59,1.65
Male,não,não,3.0,3.0,Quase sempre,não,2.0,sim,0.0,1.0,Não,Transporte público,Peso normal,18,64,1.74
Male,não,sim,2.0,1.0,Não,não,3.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso I,21,70,1.62
Female,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,2.0,0.0,Não,Transporte público,Peso normal,38,59,1.64
Female,sim,sim,3.0,1.0,Sempre,não,1.0,não,1.0,0.0,Não,Transporte público,Peso normal,18,48,1.57
Male,sim,sim,3.0,3.0,Frequentemente,não,2.0,sim,3.0,0.0,Quase sempre,Transporte público,Peso normal,22,84,1.84
Male,sim,sim,3.0,3.0,Frequentemente,sim,2.0,não,2.0,2.0,Frequentemente,Transporte público,Peso normal,26,84,1.91
Male,não,sim,2.0,1.0,Não,não,3.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso I,21,70,1.62
Female,não,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Não,Transporte público,Peso normal,18,48,1.58
Female,sim,sim,2.0,3.0,Frequentemente,não,1.0,não,0.0,0.0,Quase sempre,Transporte público,Peso normal,23,67,1.68
Female,não,sim,3.0,3.0,Frequentemente,não,2.0,não,0.0,1.0,Não,Transporte público,Abaixo do peso,22,52,1.68
Female,sim,sim,2.0,1.0,Quase sempre,sim,1.0,não,0.0,0.0,Quase sempre,Transporte público,Sobrepeso II,23,60,1.48
Male,não,sim,2.0,1.0,Não,não,3.0,não,1.0,0.0,Quase sempre,Transporte público,Sobrepeso I,21,70,1.62
Female,não,não,3.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Automóvel,Sobrepeso I,31,68,1.62
Male,sim,não,2.0,3.0,Quase sempre,não,3.0,não,1.0,0.0,Frequentemente,Automóvel,Obesidade I,39,96,1.78
Male,sim,não,2.0,3.0,Quase sempre,não,3.0,não,3.0,2.0,Não,Transporte público,Obesidade I,25,98,1.78
Male,sim,sim,3.0,1.0,Não,não,3.0,não,3.0,1.0,Frequentemente,Automóvel,Obesidade I,35,105,1.78
Female,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Não,Transporte público,Peso normal,33,62,1.63
Male,não,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,0.0,Quase sempre,Transporte público,Peso normal,20,56,1.6
Male,sim,sim,3.0,1.0,Frequentemente,sim,2.0,sim,2.0,0.0,Quase sempre,Transporte público,Sobrepeso I,26,80,1.75
Male,sim,não,3.0,3.0,Quase sempre,não,3.0,sim,3.0,0.0,Quase sempre,Automóvel,Sobrepeso I,20,85,1.83
Male,não,não,2.0,1.0,Frequentemente,não,3.0,sim,2.0,1.0,Não,Transporte público,Peso normal,20,68,1.78
Female,sim,sim,3.0,3.0,Frequentemente,não,3.0,não,3.0,0.0,Não,Transporte público,Obesidade I,23,83,1.6
Male,sim,sim,3.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Quase sempre,Caminhar,Sobrepeso I,19,85,1.8
Male,sim,não,2.0,3.0,Quase sempre,não,2.0,não,1.0,2.0,Quase sempre,Bicicleta,Peso normal,22,74,1.75
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,0.0,0.0,Quase sempre,Bicicleta,Obesidade II,41,118,1.75
Female,sim,sim,2.0,1.0,Frequentemente,não,1.0,não,0.0,2.0,Não,Transporte público,Abaixo do peso,18,40,1.59
Female,sim,sim,2.0,1.0,Quase sempre,não,1.0,não,1.0,1.0,Quase sempre,Transporte público,Peso normal,23,60,1.66
Female,sim,não,3.0,1.0,Quase sempre,sim,3.0,não,1.0,2.0,Quase sempre,Transporte público,Obesidade I,23,83,1.63
Female,sim,sim,2.0,3.0,Sempre,não,1.0,não,0.0,0.0,Quase sempre,Automóvel,Obesidade I,41,80,1.54
Female,sim,sim,3.0,3.0,Quase sempre,sim,1.0,não,0.0,1.0,Quase sempre,Transporte público,Obesidade III,26,102,1.56
Male,sim,não,2.0,3.0,Quase sempre,não,3.0,não,1.0,0.0,Quase sempre,Automóvel,Obesidade I,29,90,1.69
Male,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,3.0,2.0,Não,Automóvel,Peso normal,27,71,1.83
Female,sim,sim,2.0,1.0,Quase sempre,sim,2.0,não,1.0,0.0,Frequentemente,Transporte público,Obesidade I,23,78,1.6
Male,sim,sim,2.0,3.0,Frequentemente,não,2.0,não,2.0,0.0,Não,Transporte público,Obesidade I,19,100,1.75
Male,sim,não,2.0,3.0,Não,não,2.0,sim,1.0,0.0,Quase sempre,Caminhar,Peso normal,30,73,1.75
Female,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Quase sempre,Transporte público,Peso normal,22,65,1.69
Female,sim,sim,2.0,3.0,Quase sempre,não,2.0,não,1.0,1.0,Quase sempre,Transporte público,Peso normal,22,65,1.69
